schema,KPI_Label,Formula,KPI_Name,Properties_Key,report_name,Schema_Original,Description
apn,APN MS On GTP Interface Packets with Interactive QOS All Priorities Sent,(%qosint-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_with_Interactive_QOS_All_Priorities_Sent,wrnApnAggQosPrioritySent,StarOS APN Aggregate QOS Priority Sent Statistics,APN,APN MS On GTP Interface Packets with Interactive QOS All Priorities Sent
apn,APN Internet/PDN On Gi Interface Packets With Conversational QOS Sent,(%qosconv-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_With_Conversational_QOS_Sent,wrnApnAggQosSentStats,StarOS APN Aggregate QOS Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets With Conversational QOS Sent
apn,APN MS On GTP Interface Packets With Conversational QOS Sent,(%qosconv-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_With_Conversational_QOS_Sent,wrnApnAggQosSentStats,StarOS APN Aggregate QOS Sent Statistics,APN,APN MS On GTP Interface Packets With Conversational QOS Sent
apn,APN Internet/PDN On Gi Interface Packets With Streaming QOS Sent,(%qosstrm-pkts-uplnk%),kpi_APN_Internet_PDN_On_Gi_Interface_Packets_With_Streaming_QOS_Sent,wrnApnAggQosSentStats,StarOS APN Aggregate QOS Sent Statistics,APN,APN Internet/PDN On Gi Interface Packets With Streaming QOS Sent
apn,APN MS On GTP Interface Packets With Streaming QOS Sent,(%qosstrm-pkts-dnlnk%),kpi_APN_MS_On_GTP_Interface_Packets_With_Streaming_QOS_Sent,wrnApnAggQosSentStats,StarOS APN Aggregate QOS Sent Statistics,APN,APN MS On GTP Interface Packets With Streaming QOS Sent
apn,APN Rejected Default Bearer,(%rej-defbear%),kpi_APN_Rejected_Default_Bearer,wrnApnAggRejectedBearers,StarOS APN Aggregate Rejected Bearers Statistics,APN,APN Rejected Default Bearer
apn,APN Rejected Dedicated Bearer,(%rej-dedbear%),kpi_APN_Rejected_Dedicated_Bearer,wrnApnAggRejectedBearers,StarOS APN Aggregate Rejected Bearers Statistics,APN,APN Rejected Dedicated Bearer
apn,APN Released Default Bearers,(%rel-defbear%),kpi_APN_Released_Default_Bearers,wrnApnAggReleasedBearers,StarOS APN Aggregate Released Bearers Statistics,APN,APN Released Default Bearers
apn,APN Released Dedicated Bearers,(%rel-dedbear%),kpi_APN_Released_Dedicated_Bearers,wrnApnAggReleasedBearers,StarOS APN Aggregate Released Bearers Statistics,APN,APN Released Dedicated Bearers
apn,APN Default Released Bearers Failures,(%rel-fail-defbear%),kpi_APN_Default_Released_Bearers_Failures,wrnApnAggReleasedBearers,StarOS APN Aggregate Released Bearers Statistics,APN,APN Default Released Bearers Failures
apn,APN Dedicated Released Bearers Failures,(%rel-fail-dedbear%),kpi_APN_Dedicated_Released_Bearers_Failures,wrnApnAggReleasedBearers,StarOS APN Aggregate Released Bearers Statistics,APN,APN Dedicated Released Bearers Failures
apn,APN Average Data Rate Bits Per Seconds From User,(%data-fromuseravg-bps%),kpi_APN_Average_Data_Rate_Bits_Per_Seconds_From_User,wrnApnAggUserDataBpsStats,StarOS APN Aggregate User Data Bps Statistics,APN,APN Average Data Rate Bits Per Seconds From User
apn,APN Average Data Rate Bits Per Seconds Towards User,(%data-touseravg-bps%),kpi_APN_Average_Data_Rate_Bits_Per_Seconds_Towards_User,wrnApnAggUserDataBpsStats,StarOS APN Aggregate User Data Bps Statistics,APN,APN Average Data Rate Bits Per Seconds Towards User
apn,APN Sustained Data Rate Bits Per Seconds From User,(%data-fromusersust-bps%),kpi_APN_Sustained_Data_Rate_Bits_Per_Seconds_From_User,wrnApnAggUserDataBpsStats,StarOS APN Aggregate User Data Bps Statistics,APN,APN Sustained Data Rate Bits Per Seconds From User
apn,APN Sustained Data Rate Bits Per Seconds Towards User,(%data-tousersust-bps%),kpi_APN_Sustained_Data_Rate_Bits_Per_Seconds_Towards_User,wrnApnAggUserDataBpsStats,StarOS APN Aggregate User Data Bps Statistics,APN,APN Sustained Data Rate Bits Per Seconds Towards User
apn,APN Average Data Rate Packets Per Seconds From User,(%data-fromuseravg-pps%),kpi_APN_Average_Data_Rate_Packets_Per_Seconds_From_User,wrnApnAggUserDataPpsStats,StarOS APN Aggregate User Data Pps Statistics,APN,APN Average Data Rate Packets Per Seconds From User
apn,APN Average Data Rate Packets Per Seconds Towards User,(%data-touseravg-pps%),kpi_APN_Average_Data_Rate_Packets_Per_Seconds_Towards_User,wrnApnAggUserDataPpsStats,StarOS APN Aggregate User Data Pps Statistics,APN,APN Average Data Rate Packets Per Seconds Towards User
apn,APN Sustained Data Rate Packets Per Seconds From User,(%data-fromusersust-pps%),kpi_APN_Sustained_Data_Rate_Packets_Per_Seconds_From_User,wrnApnAggUserDataPpsStats,StarOS APN Aggregate User Data Pps Statistics,APN,APN Sustained Data Rate Packets Per Seconds From User
apn,APN Sustained Data Rate Packets Per Seconds Towards User,(%data-tousersust-pps%),kpi_APN_Sustained_Data_Rate_Packets_Per_Seconds_Towards_User,wrnApnAggUserDataPpsStats,StarOS APN Aggregate User Data Pps Statistics,APN,APN Sustained Data Rate Packets Per Seconds Towards User
apn,APN Dedicated Bearers Admin Clear,(%sessstat-bearrel-ded-admin-clear%),kpi_APN_Dedicated_Bearers_Admin_Clear,wrnApnBearerStats,StarOS APN Dedicated Bearers Statistics,APN,APN Dedicated Bearers Admin Clear
